gene_id,UniProtEntry,Uniprot Entry,Uniprot Entry name,Gene names,Protein names,HGNC ID,HGNC_Symbol,Approved name,IDG dark kinase,Kinhub Kinase,Manning Kinase,Group,Family,Uniprot_kinaseactivity,PfamDomain,DomainStart,DomainEnd,ProKinO,Fold_Annotation,Fold,Annotation_Score,INDRA_network,Pseudokinase
53944,sp|Q9HCP0|KC1G1_HUMAN,Q9HCP0,KC1G1_HUMAN,CSNK1G1,Casein kinase I isoform gamma-1 (CKI-gamma 1) (EC 2.7.11.1),HGNC:2454,CSNK1G1,casein kinase 1 gamma 1,1,1,1,CK1,CK1,1,Pkinase,44.0,313.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,0.972610975,http://ndexbio.org/#/network/07b317d5-5d91-11ea-bfdc-0ac135e8bacf,0
1455,sp|P78368|KC1G2_HUMAN,P78368,KC1G2_HUMAN,CSNK1G2 CK1G2,Casein kinase I isoform gamma-2 (CKI-gamma 2) (EC 2.7.11.1),HGNC:2455,CSNK1G2,casein kinase 1 gamma 2,1,1,1,CK1,CK1,1,Pkinase,46.0,314.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,0.752924877,http://ndexbio.org/#/network/0d68bb8b-5d91-11ea-bfdc-0ac135e8bacf,0
1456,sp|Q9Y6M4|KC1G3_HUMAN,Q9Y6M4,KC1G3_HUMAN,CSNK1G3,Casein kinase I isoform gamma-3 (CKI-gamma 3) (EC 2.7.11.1),HGNC:2456,CSNK1G3,casein kinase 1 gamma 3,1,1,1,CK1,CK1,1,Pkinase,43.0,310.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,0.9911261029999999,http://ndexbio.org/#/network/13251601-5d91-11ea-bfdc-0ac135e8bacf,0
8536,sp|Q14012|KCC1A_HUMAN,Q14012,KCC1A_HUMAN,CAMK1,Calcium/calmodulin-dependent protein kinase type 1 (EC 2.7.11.17) (CaM kinase I) (CaM-KI) (CaM kinase I alpha) (CaMKI-alpha),HGNC:1459,CAMK1,calcium/calmodulin dependent protein kinase I,0,1,1,CAMK,CAMK1,1,Pkinase,20.0,276.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,1.041648589,http://ndexbio.org/#/network/84f5bc40-5e21-11ea-bfdc-0ac135e8bacf,0
139728,sp|Q6P2M8|KCC1B_HUMAN,Q6P2M8,KCC1B_HUMAN,PNCK,Calcium/calmodulin-dependent protein kinase type 1B (EC 2.7.11.17) (CaM kinase I beta) (CaM kinase IB) (CaM-KI beta) (CaMKI-beta) (Pregnancy up-regulated non-ubiquitously-expressed CaM kinase),HGNC:13415,PNCK,pregnancy up-regulated nonubiquitous CaM kinase,1,1,1,CAMK,CAMK1,1,Pkinase,15.0,270.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,0.89775755,http://ndexbio.org/#/network/1df3cf4d-5d91-11ea-bfdc-0ac135e8bacf,0
57118,sp|Q8IU85|KCC1D_HUMAN,Q8IU85,KCC1D_HUMAN,CAMK1D CAMKID,Calcium/calmodulin-dependent protein kinase type 1D (EC 2.7.11.17) (CaM kinase I delta) (CaM kinase ID) (CaM-KI delta) (CaMKI delta) (CaMKID) (CaMKI-like protein kinase) (CKLiK),HGNC:19341,CAMK1D,calcium/calmodulin dependent protein kinase ID,1,1,1,CAMK,CAMK1,1,Pkinase,23.0,279.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,0.670706816,http://ndexbio.org/#/network/233a8493-5d91-11ea-bfdc-0ac135e8bacf,0
57172,sp|Q96NX5|KCC1G_HUMAN,Q96NX5,KCC1G_HUMAN,CAMK1G CLICK3 VWS1,Calcium/calmodulin-dependent protein kinase type 1G (EC 2.7.11.17) (CaM kinase I gamma) (CaM kinase IG) (CaM-KI gamma) (CaMKI gamma) (CaMKIG) (CaMK-like CREB kinase III) (CLICK III),HGNC:14585,CAMK1G,calcium/calmodulin dependent protein kinase IG,1,1,1,CAMK,CAMK1,1,Pkinase,25.0,277.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,0.930477564,http://ndexbio.org/#/network/28c806d9-5d91-11ea-bfdc-0ac135e8bacf,0
815,sp|Q9UQM7|KCC2A_HUMAN,Q9UQM7,KCC2A_HUMAN,CAMK2A CAMKA KIAA0968,Calcium/calmodulin-dependent protein kinase type II subunit alpha (CaM kinase II subunit alpha) (CaMK-II subunit alpha) (EC 2.7.11.17),HGNC:1460,CAMK2A,calcium/calmodulin dependent protein kinase II alpha,0,1,1,CAMK,CAMK2,1,Pkinase,13.0,271.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,2.761336811,http://ndexbio.org/#/network/2ecd783f-5d91-11ea-bfdc-0ac135e8bacf,0
816,sp|Q13554|KCC2B_HUMAN,Q13554,KCC2B_HUMAN,CAMK2B CAM2 CAMK2 CAMKB,Calcium/calmodulin-dependent protein kinase type II subunit beta (CaM kinase II subunit beta) (CaMK-II subunit beta) (EC 2.7.11.17),HGNC:1461,CAMK2B,calcium/calmodulin dependent protein kinase II beta,0,1,1,CAMK,CAMK2,1,Pkinase,14.0,272.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,2.270096983,http://ndexbio.org/#/network/35999508-5d91-11ea-bfdc-0ac135e8bacf,0
817,sp|Q13557|KCC2D_HUMAN,Q13557,KCC2D_HUMAN,CAMK2D CAMKD,Calcium/calmodulin-dependent protein kinase type II subunit delta (CaM kinase II subunit delta) (CaMK-II subunit delta) (EC 2.7.11.17),HGNC:1462,CAMK2D,calcium/calmodulin dependent protein kinase II delta,0,1,1,CAMK,CAMK2,1,Pkinase,14.0,272.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,3.2056465419999998,http://ndexbio.org/#/network/3bf75f9e-5d91-11ea-bfdc-0ac135e8bacf,0
818,sp|Q13555|KCC2G_HUMAN,Q13555,KCC2G_HUMAN,CAMK2G CAMK CAMK-II CAMKG,Calcium/calmodulin-dependent protein kinase type II subunit gamma (CaM kinase II subunit gamma) (CaMK-II subunit gamma) (EC 2.7.11.17),HGNC:1463,CAMK2G,calcium/calmodulin dependent protein kinase II gamma,0,1,1,CAMK,CAMK2,1,Pkinase,14.0,272.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,2.702520755,http://ndexbio.org/#/network/c4c4ba16-5e21-11ea-bfdc-0ac135e8bacf,0
814,sp|Q16566|KCC4_HUMAN,Q16566,KCC4_HUMAN,CAMK4 CAMK CAMK-GR CAMKIV,Calcium/calmodulin-dependent protein kinase type IV (CaMK IV) (EC 2.7.11.17) (CaM kinase-GR),HGNC:1464,CAMK4,calcium/calmodulin dependent protein kinase IV,0,1,1,CAMK,CAMK1,1,Pkinase,46.0,300.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,2.283640688,http://ndexbio.org/#/network/d485ee1c-5e21-11ea-bfdc-0ac135e8bacf,0
5592,sp|Q13976|KGP1_HUMAN,Q13976,KGP1_HUMAN,PRKG1 PRKG1B PRKGR1A PRKGR1B,cGMP-dependent protein kinase 1 (cGK 1) (cGK1) (EC 2.7.11.12) (cGMP-dependent protein kinase I) (cGKI),HGNC:9414,PRKG1,protein kinase cGMP-dependent 1,0,1,1,AGC,PKG,1,Pkinase,361.0,619.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,1.594174328,http://ndexbio.org/#/network/dd0f9962-5e21-11ea-bfdc-0ac135e8bacf,0
5593,sp|Q13237|KGP2_HUMAN,Q13237,KGP2_HUMAN,PRKG2 PRKGR2,cGMP-dependent protein kinase 2 (cGK 2) (cGK2) (EC 2.7.11.12) (cGMP-dependent protein kinase II) (cGKII),HGNC:9416,PRKG2,protein kinase cGMP-dependent 2,0,1,1,AGC,PKG,1,Pkinase,453.0,710.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,1.3914803,http://ndexbio.org/#/network/52bcd779-5d91-11ea-bfdc-0ac135e8bacf,0
3815,sp|P10721|KIT_HUMAN,P10721,KIT_HUMAN,KIT SCFR,Mast/stem cell growth factor receptor Kit (SCFR) (EC 2.7.10.1) (Piebald trait protein) (PBT) (Proto-oncogene c-Kit) (Tyrosine-protein kinase Kit) (p145 c-kit) (v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog) (CD antigen CD117),HGNC:6342,KIT,"KIT proto-oncogene, receptor tyrosine kinase",0,1,1,TK,PDGFR,1,Pkinase_Tyr,589.0,925.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,5.536766094,http://ndexbio.org/#/network/bc64489a-5daf-11ea-bfdc-0ac135e8bacf,0
84254,sp|Q8N5S9|KKCC1_HUMAN,Q8N5S9,KKCC1_HUMAN,CAMKK1 CAMKKA,Calcium/calmodulin-dependent protein kinase kinase 1 (CaM-KK 1) (CaM-kinase kinase 1) (CaMKK 1) (EC 2.7.11.17) (CaM-kinase IV kinase) (Calcium/calmodulin-dependent protein kinase kinase alpha) (CaM-KK alpha) (CaM-kinase kinase alpha) (CaMKK alpha),HGNC:1469,CAMKK1,calcium/calmodulin dependent protein kinase kinase 1,1,1,1,Other,CAMKK,1,Pkinase,128.0,409.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,1.352270015,http://ndexbio.org/#/network/61796cc5-5d91-11ea-bfdc-0ac135e8bacf,0
10645,sp|Q96RR4|KKCC2_HUMAN,Q96RR4,KKCC2_HUMAN,CAMKK2 CAMKKB KIAA0787,Calcium/calmodulin-dependent protein kinase kinase 2 (CaM-KK 2) (CaM-kinase kinase 2) (CaMKK 2) (EC 2.7.11.17) (Calcium/calmodulin-dependent protein kinase kinase beta) (CaM-KK beta) (CaM-kinase kinase beta) (CaMKK beta),HGNC:1470,CAMKK2,calcium/calmodulin dependent protein kinase kinase 2,1,1,1,Other,CAMKK,1,Pkinase,165.0,446.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,1.832311103,http://ndexbio.org/#/network/e4b3edb8-5e21-11ea-bfdc-0ac135e8bacf,0
5578,sp|P17252|KPCA_HUMAN,P17252,KPCA_HUMAN,PRKCA PKCA PRKACA,Protein kinase C alpha type (PKC-A) (PKC-alpha) (EC 2.7.11.13),HGNC:9393,PRKCA,protein kinase C alpha,0,1,1,AGC,PKC,1,Pkinase,339.0,597.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,3.2937230210000004,http://ndexbio.org/#/network/d1476bd0-5daf-11ea-bfdc-0ac135e8bacf,0
5579,sp|P05771|KPCB_HUMAN,P05771,KPCB_HUMAN,PRKCB PKCB PRKCB1,Protein kinase C beta type (PKC-B) (PKC-beta) (EC 2.7.11.13),HGNC:9395,PRKCB,protein kinase C beta,0,1,1,AGC,PKC,1,Pkinase,342.0,600.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,3.2283113589999997,http://ndexbio.org/#/network/decbf646-5daf-11ea-bfdc-0ac135e8bacf,0
5580,sp|Q05655|KPCD_HUMAN,Q05655,KPCD_HUMAN,PRKCD,Protein kinase C delta type (EC 2.7.11.13) (Tyrosine-protein kinase PRKCD) (EC 2.7.10.2) (nPKC-delta) [Cleaved into: Protein kinase C delta type regulatory subunit; Protein kinase C delta type catalytic subunit (Sphingosine-dependent protein kinase-1) (SDK1)],HGNC:9399,PRKCD,protein kinase C delta,0,1,1,AGC,PKC,1,Pkinase,349.0,603.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,3.257041731,http://ndexbio.org/#/network/ed5127dc-5daf-11ea-bfdc-0ac135e8bacf,0
5587,sp|Q15139|KPCD1_HUMAN,Q15139,KPCD1_HUMAN,PRKD1 PKD PKD1 PRKCM,Serine/threonine-protein kinase D1 (EC 2.7.11.13) (Protein kinase C mu type) (Protein kinase D) (nPKC-D1) (nPKC-mu),HGNC:9407,PRKD1,protein kinase D1,0,1,1,CAMK,PKD,1,Pkinase,583.0,839.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,1.805933469,http://ndexbio.org/#/network/f8253852-5daf-11ea-bfdc-0ac135e8bacf,0
25865,sp|Q9BZL6|KPCD2_HUMAN,Q9BZL6,KPCD2_HUMAN,PRKD2 PKD2 HSPC187,Serine/threonine-protein kinase D2 (EC 2.7.11.13) (nPKC-D2),HGNC:17293,PRKD2,protein kinase D2,0,1,1,CAMK,PKD,1,Pkinase,551.0,807.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,2.2254544380000003,http://ndexbio.org/#/network/8b26fb1d-5d91-11ea-bfdc-0ac135e8bacf,0
23683,sp|O94806|KPCD3_HUMAN,O94806,KPCD3_HUMAN,PRKD3 EPK2 PRKCN,Serine/threonine-protein kinase D3 (EC 2.7.11.13) (Protein kinase C nu type) (Protein kinase EPK2) (nPKC-nu),HGNC:9408,PRKD3,protein kinase D3,0,1,1,CAMK,PKD,1,Pkinase,576.0,832.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,1.1624767759999999,http://ndexbio.org/#/network/921a9d16-5d91-11ea-bfdc-0ac135e8bacf,0
5581,sp|Q02156|KPCE_HUMAN,Q02156,KPCE_HUMAN,PRKCE PKCE,Protein kinase C epsilon type (EC 2.7.11.13) (nPKC-epsilon),HGNC:9401,PRKCE,protein kinase C epsilon,0,1,1,AGC,PKC,1,Pkinase,408.0,668.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,2.566666152,http://ndexbio.org/#/network/030b2318-5db0-11ea-bfdc-0ac135e8bacf,0
5582,sp|P05129|KPCG_HUMAN,P05129,KPCG_HUMAN,PRKCG PKCG,Protein kinase C gamma type (PKC-gamma) (EC 2.7.11.13),HGNC:9402,PRKCG,protein kinase C gamma,0,1,1,AGC,PKC,1,Pkinase,351.0,614.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,1.736045256,http://ndexbio.org/#/network/ecb5cb5e-5e21-11ea-bfdc-0ac135e8bacf,0
5584,sp|P41743|KPCI_HUMAN,P41743,KPCI_HUMAN,PRKCI DXS1179E,Protein kinase C iota type (EC 2.7.11.13) (Atypical protein kinase C-lambda/iota) (PRKC-lambda/iota) (aPKC-lambda/iota) (nPKC-iota),HGNC:9404,PRKCI,protein kinase C iota,0,1,1,AGC,PKC,1,Pkinase,254.0,522.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,2.318974988,http://ndexbio.org/#/network/f5425cd4-5e21-11ea-bfdc-0ac135e8bacf,0
5583,sp|P24723|KPCL_HUMAN,P24723,KPCL_HUMAN,PRKCH PKCL PRKCL,Protein kinase C eta type (EC 2.7.11.13) (PKC-L) (nPKC-eta),HGNC:9403,PRKCH,protein kinase C eta,0,1,1,AGC,PKC,1,Pkinase,355.0,614.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,1.3589831490000002,http://ndexbio.org/#/network/a618de9b-5d91-11ea-bfdc-0ac135e8bacf,0
5588,sp|Q04759|KPCT_HUMAN,Q04759,KPCT_HUMAN,PRKCQ PRKCT,Protein kinase C theta type (EC 2.7.11.13) (nPKC-theta),HGNC:9410,PRKCQ,protein kinase C theta,1,1,1,AGC,PKC,1,Pkinase,380.0,634.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,2.910239035,http://ndexbio.org/#/network/fe6dc65a-5e21-11ea-bfdc-0ac135e8bacf,0
5590,sp|Q05513|KPCZ_HUMAN,Q05513,KPCZ_HUMAN,PRKCZ PKC2,Protein kinase C zeta type (EC 2.7.11.13) (nPKC-zeta),HGNC:9412,PRKCZ,protein kinase C zeta,0,1,1,AGC,PKC,1,Pkinase,252.0,518.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,2.981786865,http://ndexbio.org/#/network/077a8450-5e22-11ea-bfdc-0ac135e8bacf,0
5681,sp|P11801|KPSH1_HUMAN,P11801,KPSH1_HUMAN,PSKH1,Serine/threonine-protein kinase H1 (EC 2.7.11.1) (Protein serine kinase H1) (PSK-H1),HGNC:9529,PSKH1,protein serine kinase H1,1,1,1,CAMK,PSK,1,Pkinase,98.0,355.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,1.049528351,http://ndexbio.org/#/network/b83344ed-5d91-11ea-bfdc-0ac135e8bacf,0
85481,sp|Q96QS6|KPSH2_HUMAN,Q96QS6,KPSH2_HUMAN,PSKH2,Serine/threonine-protein kinase H2 (EC 2.7.11.1) (Protein serine kinase H2) (PSK-H2),HGNC:18997,PSKH2,protein serine kinase H2,1,1,1,CAMK,PSK,1,Pkinase,63.0,320.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,0.182719395,http://ndexbio.org/#/network/bcd79eb3-5d91-11ea-bfdc-0ac135e8bacf,1
6195,sp|Q15418|KS6A1_HUMAN,Q15418,KS6A1_HUMAN,RPS6KA1 MAPKAPK1A RSK1,Ribosomal protein S6 kinase alpha-1 (S6K-alpha-1) (EC 2.7.11.1) (90 kDa ribosomal protein S6 kinase 1) (p90-RSK 1) (p90RSK1) (p90S6K) (MAP kinase-activated protein kinase 1a) (MAPK-activated protein kinase 1a) (MAPKAP kinase 1a) (MAPKAPK-1a) (Ribosomal S6 kinase 1) (RSK-1),HGNC:10430,RPS6KA1,ribosomal protein S6 kinase A1,0,1,1,AGC,RSK,1,Pkinase,62.0,321.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,1.8724798219999998,http://ndexbio.org/#/network/10935036-5e22-11ea-bfdc-0ac135e8bacf,0
6195,sp|Q15418|KS6A1_HUMAN_2,Q15418,KS6A1_HUMAN,RPS6KA1 MAPKAPK1A RSK1,Ribosomal protein S6 kinase alpha-1 (S6K-alpha-1) (EC 2.7.11.1) (90 kDa ribosomal protein S6 kinase 1) (p90-RSK 1) (p90RSK1) (p90S6K) (MAP kinase-activated protein kinase 1a) (MAPK-activated protein kinase 1a) (MAPKAP kinase 1a) (MAPKAPK-1a) (Ribosomal S6 kinase 1) (RSK-1),HGNC:10430,RPS6KA1,ribosomal protein S6 kinase A1,0,1,1,AGC,RSK,1,Pkinase,418.0,675.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,1.8724798219999998,http://ndexbio.org/#/network/10935036-5e22-11ea-bfdc-0ac135e8bacf,0
6196,sp|Q15349|KS6A2_HUMAN,Q15349,KS6A2_HUMAN,RPS6KA2 MAPKAPK1C RSK3,Ribosomal protein S6 kinase alpha-2 (S6K-alpha-2) (EC 2.7.11.1) (90 kDa ribosomal protein S6 kinase 2) (p90-RSK 2) (p90RSK2) (MAP kinase-activated protein kinase 1c) (MAPK-activated protein kinase 1c) (MAPKAP kinase 1c) (MAPKAPK-1c) (Ribosomal S6 kinase 3) (RSK-3) (pp90RSK3),HGNC:10431,RPS6KA2,ribosomal protein S6 kinase A2,0,1,1,AGC,RSK,1,Pkinase,59.0,318.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,1.650447409,http://ndexbio.org/#/network/d935bc5e-5d91-11ea-bfdc-0ac135e8bacf,0
6196,sp|Q15349|KS6A2_HUMAN_2,Q15349,KS6A2_HUMAN,RPS6KA2 MAPKAPK1C RSK3,Ribosomal protein S6 kinase alpha-2 (S6K-alpha-2) (EC 2.7.11.1) (90 kDa ribosomal protein S6 kinase 2) (p90-RSK 2) (p90RSK2) (MAP kinase-activated protein kinase 1c) (MAPK-activated protein kinase 1c) (MAPKAP kinase 1c) (MAPKAPK-1c) (Ribosomal S6 kinase 3) (RSK-3) (pp90RSK3),HGNC:10431,RPS6KA2,ribosomal protein S6 kinase A2,0,1,1,AGC,RSK,1,Pkinase,415.0,672.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,1.650447409,http://ndexbio.org/#/network/d935bc5e-5d91-11ea-bfdc-0ac135e8bacf,0
6197,sp|P51812|KS6A3_HUMAN,P51812,KS6A3_HUMAN,RPS6KA3 ISPK1 MAPKAPK1B RSK2,Ribosomal protein S6 kinase alpha-3 (S6K-alpha-3) (EC 2.7.11.1) (90 kDa ribosomal protein S6 kinase 3) (p90-RSK 3) (p90RSK3) (Insulin-stimulated protein kinase 1) (ISPK-1) (MAP kinase-activated protein kinase 1b) (MAPK-activated protein kinase 1b) (MAPKAP kinase 1b) (MAPKAPK-1b) (Ribosomal S6 kinase 2) (RSK-2) (pp90RSK2),HGNC:10432,RPS6KA3,ribosomal protein S6 kinase A3,0,1,1,AGC,RSK,1,Pkinase,68.0,327.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,1.9986303580000002,http://ndexbio.org/#/network/19b40b5c-5e22-11ea-bfdc-0ac135e8bacf,0
6197,sp|P51812|KS6A3_HUMAN_2,P51812,KS6A3_HUMAN,RPS6KA3 ISPK1 MAPKAPK1B RSK2,Ribosomal protein S6 kinase alpha-3 (S6K-alpha-3) (EC 2.7.11.1) (90 kDa ribosomal protein S6 kinase 3) (p90-RSK 3) (p90RSK3) (Insulin-stimulated protein kinase 1) (ISPK-1) (MAP kinase-activated protein kinase 1b) (MAPK-activated protein kinase 1b) (MAPKAP kinase 1b) (MAPKAPK-1b) (Ribosomal S6 kinase 2) (RSK-2) (pp90RSK2),HGNC:10432,RPS6KA3,ribosomal protein S6 kinase A3,0,1,1,AGC,RSK,1,Pkinase,422.0,679.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,1.9986303580000002,http://ndexbio.org/#/network/19b40b5c-5e22-11ea-bfdc-0ac135e8bacf,0
8986,sp|O75676|KS6A4_HUMAN,O75676,KS6A4_HUMAN,RPS6KA4 MSK2,Ribosomal protein S6 kinase alpha-4 (S6K-alpha-4) (EC 2.7.11.1) (90 kDa ribosomal protein S6 kinase 4) (Nuclear mitogen- and stress-activated protein kinase 2) (Ribosomal protein kinase B) (RSKB),HGNC:10433,RPS6KA4,ribosomal protein S6 kinase A4,0,1,1,AGC,RSK,1,Pkinase,33.0,301.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,0.999000608,http://ndexbio.org/#/network/f3477909-5d91-11ea-bfdc-0ac135e8bacf,0
8986,sp|O75676|KS6A4_HUMAN_2,O75676,KS6A4_HUMAN,RPS6KA4 MSK2,Ribosomal protein S6 kinase alpha-4 (S6K-alpha-4) (EC 2.7.11.1) (90 kDa ribosomal protein S6 kinase 4) (Nuclear mitogen- and stress-activated protein kinase 2) (Ribosomal protein kinase B) (RSKB),HGNC:10433,RPS6KA4,ribosomal protein S6 kinase A4,0,1,1,AGC,RSK,1,Pkinase,411.0,674.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,0.999000608,http://ndexbio.org/#/network/f3477909-5d91-11ea-bfdc-0ac135e8bacf,0
9252,sp|O75582|KS6A5_HUMAN,O75582,KS6A5_HUMAN,RPS6KA5 MSK1,Ribosomal protein S6 kinase alpha-5 (S6K-alpha-5) (EC 2.7.11.1) (90 kDa ribosomal protein S6 kinase 5) (Nuclear mitogen- and stress-activated protein kinase 1) (RSK-like protein kinase) (RSKL),HGNC:10434,RPS6KA5,ribosomal protein S6 kinase A5,0,1,1,AGC,RSK,1,Pkinase,49.0,318.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,1.8277503119999998,http://ndexbio.org/#/network/22a9e5f2-5e22-11ea-bfdc-0ac135e8bacf,0
9252,sp|O75582|KS6A5_HUMAN_2,O75582,KS6A5_HUMAN,RPS6KA5 MSK1,Ribosomal protein S6 kinase alpha-5 (S6K-alpha-5) (EC 2.7.11.1) (90 kDa ribosomal protein S6 kinase 5) (Nuclear mitogen- and stress-activated protein kinase 1) (RSK-like protein kinase) (RSKL),HGNC:10434,RPS6KA5,ribosomal protein S6 kinase A5,0,1,1,AGC,RSK,1,Pkinase,426.0,687.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,1.8277503119999998,http://ndexbio.org/#/network/22a9e5f2-5e22-11ea-bfdc-0ac135e8bacf,0
27330,sp|Q9UK32|KS6A6_HUMAN,Q9UK32,KS6A6_HUMAN,RPS6KA6 RSK4,Ribosomal protein S6 kinase alpha-6 (S6K-alpha-6) (EC 2.7.11.1) (90 kDa ribosomal protein S6 kinase 6) (p90-RSK 6) (p90RSK6) (Ribosomal S6 kinase 4) (RSK-4) (pp90RSK4),HGNC:10435,RPS6KA6,ribosomal protein S6 kinase A6,0,1,1,AGC,RSK,1,Pkinase,73.0,330.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,1.059948504,http://ndexbio.org/#/network/0c33a173-5d92-11ea-bfdc-0ac135e8bacf,0
27330,sp|Q9UK32|KS6A6_HUMAN_2,Q9UK32,KS6A6_HUMAN,RPS6KA6 RSK4,Ribosomal protein S6 kinase alpha-6 (S6K-alpha-6) (EC 2.7.11.1) (90 kDa ribosomal protein S6 kinase 6) (p90-RSK 6) (p90RSK6) (Ribosomal S6 kinase 4) (RSK-4) (pp90RSK4),HGNC:10435,RPS6KA6,ribosomal protein S6 kinase A6,0,1,1,AGC,RSK,1,Pkinase,426.0,683.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,1.059948504,http://ndexbio.org/#/network/0c33a173-5d92-11ea-bfdc-0ac135e8bacf,0
6198,sp|P23443|KS6B1_HUMAN,P23443,KS6B1_HUMAN,RPS6KB1 STK14A,Ribosomal protein S6 kinase beta-1 (S6K-beta-1) (S6K1) (EC 2.7.11.1) (70 kDa ribosomal protein S6 kinase 1) (P70S6K1) (p70-S6K 1) (Ribosomal protein S6 kinase I) (Serine/threonine-protein kinase 14A) (p70 ribosomal S6 kinase alpha) (p70 S6 kinase alpha) (p70 S6K-alpha) (p70 S6KA),HGNC:10436,RPS6KB1,ribosomal protein S6 kinase B1,0,1,1,AGC,RSK,1,Pkinase,91.0,352.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,2.689074145,http://ndexbio.org/#/network/16ed02ee-5db0-11ea-bfdc-0ac135e8bacf,0
6199,sp|Q9UBS0|KS6B2_HUMAN,Q9UBS0,KS6B2_HUMAN,RPS6KB2 STK14B,Ribosomal protein S6 kinase beta-2 (S6K-beta-2) (S6K2) (EC 2.7.11.1) (70 kDa ribosomal protein S6 kinase 2) (P70S6K2) (p70-S6K 2) (S6 kinase-related kinase) (SRK) (Serine/threonine-protein kinase 14B) (p70 ribosomal S6 kinase beta) (S6K-beta) (p70 S6 kinase beta) (p70 S6K-beta) (p70 S6KB) (p70-beta),HGNC:10437,RPS6KB2,ribosomal protein S6 kinase B2,0,1,1,AGC,RSK,1,Pkinase,67.0,328.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,1.2922850890000002,http://ndexbio.org/#/network/30bd70c3-5db0-11ea-bfdc-0ac135e8bacf,0
26750,sp|Q96S38|KS6C1_HUMAN,Q96S38,KS6C1_HUMAN,RPS6KC1 RPK118,Ribosomal protein S6 kinase delta-1 (S6K-delta-1) (EC 2.7.11.1) (52 kDa ribosomal protein S6 kinase) (Ribosomal S6 kinase-like protein with two PSK domains 118 kDa protein) (SPHK1-binding protein),HGNC:10439,RPS6KC1,ribosomal protein S6 kinase C1,1,1,1,AGC,RSKL,1,Pkinase,337.0,1056.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,0.5996816070000001,http://ndexbio.org/#/network/222a307e-5d92-11ea-bfdc-0ac135e8bacf,1
124923,sp|Q96LW2|KS6R_HUMAN,Q96LW2,KS6R_HUMAN,RSKR SGK494,Ribosomal protein S6 kinase-related protein (EC 2.7.11.1) (Sugen kinase 494),HGNC:26314,RSKR,ribosomal protein S6 kinase related,1,1,1,AGC,RSKR,1,Pkinase,107.0,359.0,1,Eukaryotic Protein Kinase (ePK),Protein Kinase Like,0.46390581299999994,http://ndexbio.org/#/network/37488cea-5db0-11ea-bfdc-0ac135e8bacf,0
