Q01217|3zzf
Q72498|3ao2
P09960|3fum
Q9EVD7|3hav
P11086|3kqm
P00489|3s0j
Q8T6J6|3vi2
P34913|3wkd
P41811|4j86
P36370|4k8o
A0A0J9|4q46
P46100|4w5a
P55201|5ewh
P41182|5h7h
Q8N884|5v8o
P02754|3nq3
O76083|3qi3
P31947|4dhm
Q9HV14|4klv
G5EBR3|4tnw
P11142|5aqf
P00929|2clk
B0Y2Y2|2xtk
Q64823|4xqb
1432|MFNUVRGQKUSIIZ-QJSOSHDRSA-P
O57413|1kug
P00720|1li6
P00469|1nje
O00560|1ybo
Q9R4E4|2ggd
P18031|2hb1
Q9AMP1|3as3
P29074|3nfk
E1XXQ2|3q2m
P00722|3t09
P56817|3vv6
P04642|4ajl
Q5SLE7|4odk
P34913|5aib
Q9SKE2|5ech
Q9SKE2|5eci
8805|5h1t
E0SJQ4|5lg3
23476|5uf0
23476|6bnh
P63316|1mxl
P39900|2hu6
Q8CGF7|2jup
P16528|2o9a
P07858|3ai8
P14489|3lce
O24911|5wbf
P00592|1hn4
P52700|2gfj
P00489|3g2h
P60473|3sgt
P26281|3ud5
P00760|4aba
Q15370|4bks
P07900|4egi
Q988B9|4keq
P30044|4mmm
P34913|4y2t
P35189|5d7e
Q9IAT9|5vfm
P26361|1r0x
P26361|1r10
Q8WS26|1yhm
P00918|2osf
Q8A5P6|4ozo
P07617|1bky
P00763|1j15
P00763|1j16
P35031|1utj
P04584|2k4i
Q8A1G2|3ck8
Q6WRH7|3lzz
P04062|3ril
P13674|4bt9
P02829|4ce2
C3P9L8|4d9p
G4VFI8|4kv9
Q9K2N0|5acw
P0C6E9|6eks
O44049|1n1t
O44049|1n1v
P22629|1sre
Q9Y3R4|1vcu
23476|2ncz
Q94M05|2vhq
Q8A0N1|2wzs
O15826|2yb0
P11086|3kqo
B8LFD6|3mv0
Q7X9A9|3wq5
K4HQE7|4ivk
P0A4Z6|4kiu
P31947|5btv
Q8Y8D7|5dhp
Q8TEQ6|5tha
P13746|5wkh
P41182|3lbz
O55236|3rtx
Q07817|3spf
O54438|4bnt
P13491|4i9u
Q8TEK3|5dtq
P04637|5g4m
------|5ldm
Q5VWG9|5wxg
P01857|1aj7
P12694|1v16
P18031|2f6y
P39045|2y55
P00489|3g2l
P19491|3h03
P00489|3npa
Q82PP4|3w5n
O26232|3wjw
P00760|4ab8
P27694|4ijl
P55212|4nbk
P47735|5iyv
P13746|5wkf
P0A6I6|6b7f
A5HZZ9|3dda
P00734|3si4
P0A988|4mjp
C5MK56|4prb
P36544|5afk
P43003|5lm4
Q9H3S7|5mk1
P16932|1m0q
P40136|1xfv
P00730|2ctc
Q9AYY6|2x85
Q9F4L3|3iae
Q99816|3obx
Q9I194|3src
P28907|3u4i
P06999|3umo
P04642|4aj4
B0LJC8|4dgb
P31947|4dhn
Q9Y6X5|4lqy
Q81VW8|4nl1
P54818|4ufk
------|5etu
P9WI55|5kde
P00918|1avn
P45478|1exw
P22629|1slg
Q7SIG4|2gvv
P0AEE5|2qw1
P06202|2rkm
Q94M05|2vhj
P04637|2vuk
P31151|2wor
P31151|2wos
P08799|2xel
Q8X9Y9|2xpc
P34913|3wk7
Q8GU20|3zj8
P39045|3zvw
O96935|4k5n
G3XD46|4kqq
G3XD46|4kqr
23476|4men
P43490|4n9c
P0C6F2|4qgi
P34913|5ai8
P01556|5lzj
P08200|9icd
O57413|1kuk
O00213|2oei
P14900|2vte
P56817|3l5b
Q4DA73|5b1s
P00509|1ahx
P09743|1pr5
Q9Y530|2l8r
O06543|2yim
O00214|3ap4
P07740|3fgc
P02638|3gk4
P66992|3twp
O15392|3uih
O75843|3zhf
G5EG62|4i2w
Q9KPL5|4pd7
Q3TTA7|5axi
A5K4U6|5hn7
Q13185|5t1i
O85465|1h5v
P02701|2a5b
P33527|2cbz
Q9ESU6|3jvk
O76083|3qi4
P31947|4dho
P12694|1v1m
Q7LIJ0|1z3t
P61964|2h9n
P04062|2v3d
Q9NBA7|3bwk
Q27686|3pp7
P31947|3t0m
Q13283|4fcm
P02879|4hv3
P0A988|4k3q
G4VFI8|4kva
Q47765|4rgd
P11838|5lws
P53617|2lo6
Q873Y0|2xvn
Q8WUI4|3c0z
P20906|3fsj
Q13009|3kze
P36186|4bi6
------|5f5b
O74036|5fou
O76290|5izc
D6D1V7|5m5d
O05891|1mrs
Q9UKM7|1x9d
P0A7E5|2ad5
P20231|2fpz
Q8VDS3|2kvm
O95931|2l1b
Q06455|2odd
P66034|2vi5
P00798|2wec
5230|3c39
Q6R308|3gt9
B1UXN2|3h2a
O14593|3uxg
Q8DQ18|4ac3
P02829|4ce3
P04746|4gqr
Q9HD26|4joj
6872|4yyn
P42527|4zmf
P98170|5c3k
Q7N561|5ofx
P06875|1ai6
P06737|1l5q
Q9ZWP8|2flh
P09960|3fu6
Q10714|4aa2
P04637|4agn
Q05127|4ibg
P0C6X7|4twy
P12694|1v11
Q15109|2l7u
P14900|2uup
Q01693|3b3c
P04637|4agm
O96935|4k5o
Q5NBT9|5c7f
P55201|5c85
O75164|5f2w
O76290|5jdc
Q14653|5jek
P16404|1ax2
P61823|1rpf
P61823|2g8r
P0A2N1|2q8y
P46922|3chg
Q9UQR0|4edu
P00720|4i7l
Q9L1K2|4u2y
P00720|4w53
P02766|5jim
P18465|5t70
P05121|1a7c
P22894|1a86
O85465|1e5j
P22216|1fhr
P00489|1gfz
P22216|1j4k
P02866|1jyi
Q01234|1kqb
P00720|1lgw
P23141|1mx1
Q9ZAG3|1nu3
P01909|1s9v
P97571|1tlo
P00760|1tni
P39900|1utt
O32393|1wc1
O32393|1wc6
Q8SR66|1z3c
P39075|2bow
Q54873|2brp
P20371|2buv
P00734|2c8y
P51795|2j9l
P51795|2ja3
P63316|2kfx
------|2kp8
P56817|2ohr
P00883|2ot1
P11172|2qcg
P38998|2qrl
Q92N37|2rin
P21836|2whp
O29777|3a1c
P13051|3fck
------|3ijh
Q12830|3qzt
Q9BU02|3tvl
P00722|3vd9
Q9NWT6|4ai8
Q9NRK6|4ayw
P00918|4bcw
P00797|4gjb
P19491|4gxs
O92972|4iz0
P56817|4l7g
Q9KKP2|4p6c
Q07817|4tuh
P03418|4ucd
Q9K169|4umb
Q9SCL7|4usj
P12497|4wym
V9TU12|4ylu
Q6PL18|5a5p
P34913|5akk
P9WMC0|5f04
P9WMC0|5f0c
P9WMC0|5f27
P21836|5fpp
P04637|5g4n
8805|5h1v
Q6P179|5j6s
Q13093|5jao
P14324|5jv2
P24666|5kql
Q9UIF9|5mgk
B3PEE6|5npc
B3PEE6|5npe
Q89GW5|5wcm
P07617|1b42
P00749|1c5z
P00760|1v2w
P04587|2aoi
Q8WSF8|2xz5
P20906|3fzn
P11086|3kqw
P35992|3s3k
P02919|5hlb
A5K4U6|5hn8
Q8RLA6|5tg5
Q8A0N1|2wvz
Q9AMP1|3as1
A5HZZ9|3ddb
P00489|3np7
P00734|3po1
Q15370|3ztd
P55201|5e3d
------|5glu
P00918|5thn
O75530|5u5k
Q9L1K2|5vsj
P01106|1mv0
P56817|2ohp
Q31TG8|2q8m
P00489|2qrm
Q8CGF7|2rm0
P62993|2w0z
Q10714|2x96
O32253|3bxh
P00489|3mt7
P02754|3nq9
Q92547|3ueo
Q9Y233|4msn
C5MK56|4pri
P0AEX9|4wmv
------|5e2l
O74036|5fow
------|5oui
P10153|1hi5
P06737|1l7x
P00720|1li2
P10153|2c02
Q9HD26|4nmp
P42574|4ps0
P34913|4y2v
P55201|5epr
P05205|6at0
P07737|1awi
P00491|1pwy
P24473|1r4w
P00509|1toi
Q58497|1tuf
P07379|2rk7
Q89ZI2|2w66
Q8A1G2|3ck7
Q9UPN6|3d9n
P0A6D3|3fjz
P21333|3isw
P0A4Z6|3n8k
Q9UKV8|3qx9
P16278|3thd
P15917|4xm6
P31947|4y32
Q8IWA4|5gof
Q9H3S7|5mk3
K4CN56|5mob
Q8N884|5vdp
P00929|2clh
P00929|2clo
Q63HR2|2loz
B1UXN2|3h2f
Q6WY08|3m3c
P21836|4b85
G8JZT0|4fem
P47929|5h9s
Q9UIF8|5mge
Q9UIF8|5or9
P41182|5x4o
P06565|8a3h
P00698|1at6
P00734|1gj4
P35505|1hyo
P18031|1wax
O67060|2v2v
P56817|2va5
P14900|2vtd
P14489|2wgi
P14900|2x5o
P12497|3avb
P07617|3mag
P07617|3mct
P07900|4eft
Q9HD26|4jok
Q0P864|4xmr
Q92793|5mpz
P35120|5ot9
Q9Y4K3|1lb6
P28720|1n2v
P77173|1y2g
Q9NWT6|1yci
D0VWV5|2auc
P50225|2d06
Q04656|2kmx
P07379|2rke
P28720|2z1w
Q9BMI9|3f8w
P00918|3kwa
P25604|3r42
P00760|3rxo
Q9H3R0|4xdo
C7C422|5a5z
P01909|5ksu
P06875|1ai7
P02866|1jn2
P61823|1o0n
Q08499|1y2b
P52756|2lk1
P21784|2v88
Q873X9|3chc
P00489|3g2n
B3PEE6|4b9z
P04190|4c1h
Q43295|4fxp
P18464|4mji
Q9I0A4|4p72
Q9BT30|4qkd
P00760|1c5t
Q9C171|1gwm
P63316|1lxf
Q5SID9|1odj
P56740|1rry
O97111|1rzx
P00734|2bvs
Q24451|2f18
P59641|2qiq
O67854|2qju
P00517|2uw3
Q873Y0|2xuc
P32324|3b78
P11172|3ewz
P02638|3gk1
P0A5R0|3iod
23476|4c66
P03951|4cr9
P97612|4do3
Q64823|4k6t
Q9I0A4|4p75
23476|4uyd
Q63226|5cc2
------|5hv1
------|5kat
O00214|5t7s
P12674|1d6s
Q27796|1p19
Q7LIJ0|1z3v
P63104|2c1n
P61964|2o9k
P00517|2uw8
P61823|3d6o
P56817|3l5d
O28527|3ncr
P09382|3oyw
P33038|3v4t
P26663|4ih5
Q837V6|4lh6
------|5dnu
Q23536|5e6o
P07900|5fnc
Q07010|5kam
Q9EQP2|5mtv
Q8N884|5v8h
P0A6K3|1bsk
P49235|1e55
Q27890|1i33
P07900|1uy8
O29777|3a1d
P09960|3fu5
P0A5R0|3ivc
O43791|3ivq
O29280|3mam
C3T3U2|3mkn
P12528|3th0
Q10714|4aa1
Q9L5C8|4de2
Q07075|4kxb
P00489|4mi3
A7Y7W1|4qfn
P00436|4whq
P00436|4whr
P00436|4whs
P0AEY8|4zow
P00760|1v2q
P22734|3ozt
P00734|3qto
6714|WTTQIOXYVORSQV-FJXKBIBVSA-O
U6NCW5|4ovf
A3UNN4|4yc0
Q59675|1gny
P37231|3adu
P0C6U8|3sna
P06782|3t4n
P27815|3tvx
Q6XZF7|4cc3
P00720|4i7m
Q05127|4ibi
Q64823|4k6u
P56817|4trw
Q15562|5dq8
P84092|5fpi
Q92831|5lvq
O08498|1m2x
Q9UJY5|1om9
Q9NPB1|1q91
P59641|2alv
P15498|2mc1
P04177|2toh
O67060|2v2q
O05521|2vt3
P16098|2xg9
O87198|3a9i
P0C512|3axk
Q46845|3c8e
Q24451|3d51
P17707|3dz2
Q8WTS6|3m56
Q63T71|3q8h
D0VX21|3sur
D0VX21|3sus
P34913|3wk9
P00760|4abh
P03951|4cr5
P02879|4esi
Q05127|4ibe
P00811|4kz4
P61964|4o45
K4KA16|4ok3
Q9VWX8|5aan
P36544|5afm
Q13451|5njx
P54829|5ow1
Q9K395|3d3x
Q12830|3qzv
P00734|3si3
O00481|4jkw
P25779|4klb
P55072|5epp
Q9VWX8|5fyx
P35120|5ito
Q9WUL6|5t8q
P11444|1mns
P00760|1v2s
P0A2D5|2pl9
Q05097|2vxj
Q9UPN6|3d9l
P01892|3qfd
Q47592|4azt
Q99MV1|4b9w
Q9HD26|4jof
P58154|4nzb
R1FPL7|4oma
P23639|4q1s
P00720|4w54
C7Q5P8|5bw4
Q6DLV0|5f41
------|5ldk
------|5ldp
P41182|5x4n
P93343|1o9e
P04273|2lh8
P0A6D3|2qfu
P12497|3avl
P0A3Y5|3q2j
B8ZY56|5m1z
B1MDL6|5o0b
Q9NWT6|5op8
P00918|5vgy
P00698|1at5
P10153|1hi3
P22513|1k3t
P12497|2lya
P0A2D5|2pmc
P07097|2wl4
P17931|3ayd
Q01693|3b3w
P02766|3cft
P02638|3cr5
Q72497|3ds4
O60760|3ee2
O67854|3f3a
E7FH78|3nok
Q9I194|3srb
P00734|3sv2
Q96WV5|4j8g
P0A988|4n9a
Q9UIF8|4nra
P00918|4q83
Q9H8M2|4yyi
Q05097|5mih
P00749|1c5y
P18031|1c87
P00734|1ghw
P00669|1n3z
Q52L64|2r2b
P01892|2x4s
P32324|3b8h
P00669|3djp
O43791|3hqh
P00734|3qx5
P10378|3rg2
P0C6X7|4tww
P28327|4wbo
P00749|4x1p
A9XG43|5dp4
O85361|5fcz
P03433|5fdd
Q99523|5mrh
Q7N561|5ofi
O97193|5ofu
P35120|5ot8
Q5SID9|1odi
Q26997|1qk4
Q9P4R8|1ulg
P0A9J4|1yon
Q8TL28|2j83
O43451|2qmj
O75581|3sov
O15392|3uec
P34913|3wkb
P0A4Z2|4bqs
Q9KPL5|4pda
Q13451|4tw6
P53582|4u6w
P43813|4ucs
Q2XVP4|5jcb
P41182|5n20
P22629|5n99
P18465|5t6z
P00918|5ti0
3795|5wbo
P62993|1aze
P14769|1gx0
P02866|1joj
P04789|1kv5
P32890|1pzi
P07824|1t5f
Q9V2Z6|1ua4
Q7B8V4|2imb
Q4VX54|2kzu
Q8KNF0|2l65
P46937|2ltw
P24182|2w6o
P05089|3f80
Q5EGY4|3kyq
G3XCK4|4asy
P02754|4gny
A8HWY8|4k63
Q9I5Q5|4mo4
Q9JN36|4oak
P66992|4own
Q9H8M2|4yy6
P0A7Z4|4zh4
P00523|1prl
P00523|1prm
P71094|2jke
P71094|2jkp
P42568|2ndf
P19812|3nii
P41784|3zqe
A7Y7W1|4qfp
Q63053|4x3h
P34913|5ak4
Q9Z2X8|5fnr
A5K4U6|5hna
Q07010|5kap
Q7D737|2bes
Q9H4M9|2ksp
P10969|2x52
P17931|3ayc
P26663|3cj3
P20582|3h78
Q9HZN8|3uwk
Q7NDN8|4f8h
Q54727|4fpk
D8NA05|5ajc
P10153|5e13
H2FH31|5f8y
F6BL85|5npf
F6BL85|5o0s
P0AC14|5u0w
------|5uff
Q9NZ52|1juq
P00720|1li3
P12104|2mji
P0AE18|3d27
P28907|3u4h
Q9HD26|4k75
P14324|4lpg
Q9WAF5|5b2d
P06730|5ei3
P60063|5j4n
Q9BX68|5km9
P15085|5om9
Q96RI1|5q0i
Q15047|6bhi
P06143|1u8t
B0QYP2|2l12
P38998|2qrk
P02638|3lk1
P00734|3qwc
P06782|3tdh
O60341|3zmv
Q9NR97|4r0a
P53582|4u69
P49327|4w9n
P81371|4xtp
P37231|5f9b
P01738|1g6r
P0A794|1m5w
P07900|1uyg
P14174|3ijg
Q1BKJ8|4aoc
5602|UXBCCALEGWWXLB-NTGPHSSGSA-P
A7Y7W1|4qfo
Q9UIF8|5mgf
P14769|1gx4
Q62940|1i5h
P04789|1ml1
Q80Z29|2g96
Q8C863|2jo9
Q56F26|2vzr
P02638|3cr4
Q42975|3f5j
Q6R308|3gta
O94760|3i4a
Q8VZS8|3jrs
Q13185|3tzd
Q15370|4b95
P0C1V0|4fak
P04190|4nq6
P54818|4ufj
O76290|4wcf
P34913|4y2s
Q9H2K2|5al1
P11021|5f2r
P02766|5l4j
P0A6I6|6b7d
P0C6E9|6eku
P03176|1e2l
P00760|1v2l
P00760|1v2m
P96851|2wuf
Q05097|3zyh
P08514|4z7q
Q9UIF9|5mgj
Q9UIF8|5orb
Q9UIF9|5t8r
P04585|1a30
P48499|1amk
P00651|1det
Q96RT1|1mfg
Q46822|1ppw
P13444|1qm4
P56740|1rs2
O85465|1w3k
P50583|1xsc
P00929|2cli
P00929|2cll
P32178|2csm
P55196|2exg
P10275|2pix
P11609|2q7y
P10275|2ylp
P10275|2ylq
P0A5R0|3ivg
P07379|3moe
P00489|3mta
P14324|3n46
Q99816|3obu
P00722|3t0b
P33038|3upk
O60341|3zmu
A5H660|4cqf
8566|4eoh
P26639|4hwt
Q05127|4ibk
Q6TUJ5|4iu1
P17931|4jc1
P30044|4k7o
P0A4Z6|4kij
Q9X1X0|4o24
Q9X1X0|4o43
Q9X1X0|4o5g
Q6P6C2|4o61
P12493|4u0a
P12493|4u0b
P61823|4wyz
D1Z359|4xhv
P42527|4zme
P34913|5aic
P50579|5d6e
Q6XEC0|5dtk
Q8TEK3|5dtm
P55201|5e3g
------|5euk
C9Z6T8|5ewy
------|5f88
A5K4U6|5hn9
------|5i2i
------|5ivz
P04825|5mfr
P9WMC1|5mys
P06875|1ajq
P00651|1rgk
P00760|2tpi
P07097|2wkt
Q7MUW6|2z3z
P52293|3q5u
P0C6U8|3vb4
P0C6U8|3vb7
P34913|3wk8
P21836|4b7z
Q9HV14|4kow
P00489|4mi6
Q15257|4ny3
P12493|4u0c
P12493|4u0d
Q7JXA8|4u68
O88703|5khh
B0L7B0|5mka
P19793|5mkj
B9KDD4|5ogl
P14090|1gu3
Q7NX84|2boi
P21836|2ha6
Q9T0I8|2qtt
P01892|2x4u
Q8WUM4|3c3q
P25823|3nth
P01897|3tpu
P00918|4q7p
P61823|4rsk
P03418|4ucc
B0L7B0|5m28
P12694|1olx
P08799|2xo8
P17931|3aya
P00489|3l7a
Q6XZF7|4cc2
Q6XZF7|4cc7
Q05127|4ibj
P27694|4ijh
P07445|1e3v
P02866|1jyc
P61823|1z6s
P21836|2ha5
P63010|2iv9
P19793|3r5m
23476|3uvx
23476|4lys
Q13009|4nxr
Q0QF01|4yxd
Q5A9A4|5agi
Q8IWA4|5goe
P00800|5n3v
Q9BUZ4|5yc1
P00734|1ghv
P59071|1sv3
P60045|1t37
Q8R7L0|1yfz
P60045|1zm6
Q3TUQ8|2rok
Q9WZU0|4a2a
P07900|4eeh
P41811|4j82
P66992|4owv
P41814|5erg
8019|5hjc
P18031|5ka7
P22515|5l6i
Q9L1K2|5vt4
P62694|1dy4
P80667|1n5z
P0A4Z2|1we2
P00918|2ez7
P63086|2fys
Q8WUM4|3c3o
P00634|3dpc
P21524|3rsr
P52732|3wpn
Q9C0B1|4idz
P55212|4nbn
P34913|5alv
Q8N6T7|5mf6
23476|5ti3
------|5ujo
3795|5wbp
Q9ZP19|1bug
P60045|1td7
Q9HYN5|2jdy
Q5SL84|2zif
Q96PN6|4clz
O24319|4dt2
P14210|4o3t
Q4JH30|5cuu
P50579|5d6f
P00797|5sy3
3932|VGUWABWDFSPZNX-YDPDSYDBSA-N
P05100|1p7m
P0A0N4|1qvt
P39045|2y4a
P07900|3b24
P31663|3guz
P29074|3nfl
P0C6U8|3snb
P37231|3u9q
P02829|4ce1
P36544|5afj
P22894|1jh1
P07900|1uyc
P04587|2avq
P84887|2hjb
Q8WUM4|3c3r
P00669|3djo
P0C6U8|3snc
P28720|3tll
P21836|4b82
P56817|4bek
O00189|4mdr
P20591|4p4t
D9J2T9|4zt8
O24891|5hfj
Q8IXJ6|5mar
23476|5ti5
Q62261|1btn
P46937|1jmq
P05981|1p57
Q9UJY5|1py1
P56817|2ohs
Q2PS28|2pwd
P00749|2vio
P12497|3ava
P13051|3fcf
------|3fn0
P27986|3i5r
O00408|3itu
O75530|3jzg
O60716|3l6x
P00489|3np9
Q14676|3unn
Q5PSV9|3va4
D5KM69|3wgg
P00760|4abd
P21836|4b80
Q8Y8D7|4dy6
O76054|4omk
Q9X2W0|4pl0
P35120|4pp0
P0A7Z4|4zh3
P62168|5aer
P34913|5ai6
P36639|5fsm
P29375|5ivf
------|5l44
Q99523|5mri
------|5uv2
P00766|6cha
P00656|6rsa
P00734|7kme
P0ACB2|1i8j
P0ACB2|1l6s
P18031|1no6
P12694|1olu
P40233|2csn
O53512|2ypp
P45040|3iqi
Q9BUL8|3rqf
P56817|3rsx
------|3uxd
P0C6U8|3vb6
P10275|3zqt
C7C422|4exs
Q54727|4fpf
P15145|4ou3
Q6IQ20|4qn9
A8JI83|4usi
P45452|5bot
Q8TEK3|5dtr
Q9UIF8|5e74
P18031|5ka9
P49773|5km2
P56740|1rsi
P00929|1tjp
Q9TQS6|2poq
Q72EF3|2vr0
Q5A9A4|2wfg
A2RJ53|3dri
P56817|3igb
P50225|3qvv
P56817|3rtm
Q9AIU7|4cc5
Q8TEK3|4ek9
Q9UIF8|4nrb
P00918|4q7s
P55201|5eps
P47929|5h9q
O76290|5jcj
B0L7B0|5mk9
P00797|5sz9
P00651|1rgl
P22629|1rst
Q873X9|2a3c
P18031|2f6v
P21836|2ha0
P00811|2pu2
P03195|2we3
Q05097|2wyf
Q9AMP1|3art
P32324|3b82
P02743|3kqr
Q6WY08|3m3e
Q00955|3tvw
Q93YN9|4axd
O24319|4dsy
Q05127|4ibf
P56817|4joo
P30967|4jpy
676|4kcx
P01892|4mnq
P22756|4qf9
P29295|4xhl
A0A0R4|4ykj
O96935|4zw5
Q9H8M2|5f2p
P04637|5g4o
Q12314|5h5f
P18031|5kad
------|5knt
P23921|5tus
P13747|5w1v
P07822|1k2v
P62617|2amt
P04587|2aoh
P13513|2q9y
P11172|3ex3
Q6HT60|3hfj
O75530|3iiw
O75530|3k27
Q8NNK8|3okc
Q9UZ14|3pd3
P22734|3u81
P56817|3wb4
D6R8X8|4d1b
P31947|4dhp
O43189|4hcz
P01892|4jfd
P0A988|4k3o
Q9KPL5|4pd6
Q9UZ14|4rrr
P56817|4x2l
P56817|4zsr
Q09490|5azf
A0R618|5d6j
P31016|5hed
P30685|1zhk
Q08638|2wbg
P02942|3atp
P63407|4g2r
P32780|5gow
P0A0N4|1qvu
P26396|1wvc
P61964|2h9m
P28248|2j4q
P12497|2lyb
Q8II73|2pt9
P21784|2v85
P21784|2v86
Q877H3|2w2u
P32324|2zit
O76290|3bmn
Q581W1|3jq8
Q581W1|3jqa
Q581W1|3jqf
Q14451|3pqz
P60472|3sgv
Q07157|3tsz
B0VD92|4gki
P18031|4i8n
X5EN43|4urn
P34913|5akg
Q7RYZ9|5c3p
P52700|5dpx
A7LXT8|5jox
P03372|2bj4
P18031|2f70
Q5SWW9|2r2w
P21784|2v83
P98170|3hl5
P05089|3skk
P0A4Z6|4cix
I6L8R4|4cu8
Q837V6|4lh7
P00489|4mra
Q5SLE7|4odq
P66992|4owo
Q96CG3|4ym4
P36544|5afn
P21836|5dtj
P27694|5eay
Q8I8T0|5el2
Q8I5R7|5ifu
P22894|1jaq
P13956|1qan
P04224|1r5v
Q9NQR1|1zkk
Q9UN37|2jq9
Q46389|2ogy
O75164|2wwj
P39045|2xln
P26663|3bsc
P00734|3p17
Q9UZ14|3pd4
Q92UV8|3t01
P56817|3udm
P00722|3vd7
Q9NTG7|4bvb
O24319|4dhl
P00489|4eke
K4KA16|4oks
Q86C09|4rxc
Q4J894|5a7y
P9WMC0|5f0h
P18031|5ka1
Q9K2N0|5lca
P00918|5tya
P10153|1hi4
P00763|1j14
P14769|1o7o
P00489|2prj
Q9NQR1|3f9y
B1UXN2|3h26
P04995|3hl8
P56817|3kmy
P02741|3l2y
P56817|3udk
P54818|4ccd
P07900|4cwf
P31947|4dhq
P00489|4el0
Q9HD26|4nmq
P01892|5isz
P18031|5t19
Q17U16|5wii
P0A6I6|6b7a
P00492|1d6n
P05020|2eg8
Q8T6S0|3n7h
P46107|3ro0
Q939R9|3sw8
P33590|4dcx
P41811|4j81
23476|5lj1
P54829|5ovx
P00749|1gi7
Q08499|1zkn
Q52L64|2r1y
P66937|2xct
Q8I4S1|2yog
P21524|2zlf
P00760|3aas
P61765|3puj
P25548|3uug
P00760|4abb
P61823|4g90
P01892|4jfe
P00811|4jxv
K4KA16|4ok5
A9D857|4z2o
P11142|5aqg
O76290|5k6a
P51161|5l8n
P22894|1a85
P0ABF6|1ctt
P15474|1gu1
O05891|1mrn
P07900|1uyf
P41007|1xz8
P71447|1z4n
P71447|1z4o
Q9RVD6|2a4m
P22411|2bua
P52700|2gfk
P24173|2h1h
P30989|2lyw
P98170|2opy
Q96BD5|2puy
Q29147|2ra6
Q46342|2vl8
Q0TR53|2vur
P07097|2wl5
A6XFF7|2wm0
P13747|3bzf
P27487|3ccb
Q8I1R6|3dga
P45973|3fdt
Q39761|3g4f
P00760|3gy7
Q5RKJ4|3ksl
O93655|3q7j
Q000H7|3r0w
Q45462|3r6u
P31947|3t0l
P13053|3w5t
P33590|4dcy
K7N5N3|4gzw
Q53WJ1|4igq
Q96EP0|4p0a
P15917|4pku
Q9H2K2|4pml
Q9H2K2|4pnn
Q9H2K2|4pns
P22734|4pyn
P22734|4pyo
Q97W95|4trc
Q9BQI5|5awt
P01892|5jhd
P9WMC1|5myn
------|5th2
P63316|5w88
P63316|5wcl
Q3UKD6|6f3f
O00189|3l81
Q584S0|3otx
O15392|3ued
V8BWT1|4x49
Q07832|5dms
Q8RLA6|5tg7
P02829|1amw
P06202|1b2h
------|1czq
P10636|1i8h
Q07412|1lyx
Q07412|1lzo
Q05097|1oko
P53686|1szd
P17427|1w80
Q60164|2frd
P04058|2v96
P61823|2w5i
O26232|2zz1
O26232|2zz2
Q9UPN6|3d9p
P0A5R0|3iub
P34913|3wka
O60341|3zn1
P26663|4b76
Q5T6S3|4bd3
P26281|4m5h
O14646|4nw2
Q8VDS3|4x3t
P52293|5b56
P55201|5etb
Q6DLV0|5f3z
P00915|5gmm
------|5iop
Q9NWT6|5opc
Q96RI1|5q0t
P36124|5tdr
P00918|5u0d
P10340|1czo
P56740|1rrw
P49951|1utc
P04587|2aof
P00489|2qn2
Q93HW0|2w92
O60341|2xag
P37231|3adt
6046|3aqa
Q9AMP1|3as0
Q60187|3b2q
P00669|3djv
P00489|3mt8
Q9Y468|3oq5
O94760|3p8p
O32243|3ppq
P28720|3rr4
D0VX21|3suv
O60341|3zmt
P11172|4hkp
P38398|4igk
P02879|4mx5
P37355|4myd
Q96PN6|4oz3
Q8DSE5|5c2o
Q8RLA6|5tg6
P0A6I6|6b7e
23476|3uw9
Q15370|3ztc
P41811|4j73
Q8VDS3|4x3k
O68183|5c4k
A9XG43|5dp7
Q9ULM3|5iql
Q9ZPL5|1i41
O88811|1uj0
O05891|1w2g
Q5X9P3|2uzj
Q7CRA4|2y2h
Q7CRA4|2y2n
P0A4Z6|3n8n
Q7NDN8|3p4w
O75581|3soq
P00489|3sym
P56817|3wb5
P0A4Z6|4ciy
P31947|4dhr
P63086|4erk
P11444|4fp1
Q13009|4gvd
P56817|4i11
A0A0J9|4or4
P81371|4xtm
Q99X63|4yrd
C6A9Y6|4zs9
O85465|5a3h
P31016|5hfb
P54829|5ovr
Q96RI1|5q0r
Q6INX3|2k46
P00489|3nc4
D0ZP76|3vvz
P36186|4bi7
Q9UIF9|4qbm
23476|5ei4
P14174|5j7q
Q96QZ7|5n7g
P00918|5u0g
P00772|1bma
P10340|1d04
P0A953|1fj4
Q9XEI3|1iew
P18031|1kak
P00811|1l2s
P03474|1vcj
Q15KI8|2ihj
Q89ZI2|2jiw
Q9W1M7|2x6f
Q9AYY6|2x6y
Q7CRA4|2y2i
O75164|2ybs
P00523|3f3t
B1UXN2|3h2o
P04995|3hp9
P45040|3iqh
P56817|3msk
P00489|3mt9
1956|NNBSPMSAYMTLBV-IPRVRCOGSA-O
Q6T755|3ujc
Q7X9A9|3wq6
I6Y8T4|4c6u
I6Y8T4|4c6v
P50743|4dcv
P61823|4g8y
P56273|4j74
Q6P6C2|4nrp
P0AE01|4xbo
Q9UIF8|4xua
23476|4yh3
23476|4yh4
Q48935|4zun
P18031|5k9w
P18031|5ka3
23476|5ti4
P12004|5yco
P44539|1f7b
P15273|1pa9
P00636|1q9d
P00760|1tx7
P04746|1u33
Q26998|1upf
Q60164|2fsv
P0AE18|2gg8
P15309|2hpa
O94760|2jaj
Q9Y6N9|2kbr
P56817|2ohq
